gtin;sku;stock
;126486-35-NERO;0
;126486-36-NERO;0
;126486-37-NERO;0
;126486-38-AJR;0
;126486-38-NERO;0
;126486-39-NERO;0
;126486-40-NERO;0
;126486-41-NERO;0
;126493-36-BIANCO;0
;126493-37-BIANCO;0
;126493-38-BIANCO;0
;126493-39-BIANCO;0
;126493-40-BIANCO;0
;126493-40-BLU;0
;126497-35-NERO;0
;126497-36-GIALLO;0
;126497-36-NERO;0
;126497-37-GIALLO;0
;126497-37-NERO;0
;126497-38-GIALLO;0
;126497-38-NERO;0
;126497-39-GIALLO;0
;126497-39-NERO;0
;126497-40-GIALLO;0
;126497-40-NERO;0
;126497-41-GIALLO;0
;126497-41-NERO;0
;126499-35-ABL;0
;126499-36-.OXX;0
;126499-36-ABL;0
;126499-36-ROSSO;0
;126499-37-ABL;0
;126499-37-ROSSO;0
;126499-38-ABL;0
;126499-38-OXX;0
;126499-39-OXX;0
;126499-39-ROSSO;0
;126499-40-ABL;0
;126499-40-OXX;0
;126501-35-NERO;0
;126501-35-OQJ;0
;126501-36-NERO;0
;126501-36-OQJ;0
;126501-37-NERO;0
;126501-37-OQJ;0
;126501-38-NERO;0
;126501-39-NERO;0
;126501-40-NERO;0
;126501-41-NERO;0
;126501-41-OQJ;0
;126503-35-NERO;0
;126503-35NERO;0
;126503-36-NERO;0
;126503-37-NERO;0
;126503-41NERO;0
;126609-35-GIALLO;0
;126609-35-NERO;0
;126609-36-GIALLO;0
;126609-36-NERO;0
;126609-37-GIALLO;0
;126609-37-NERO;0
;126609-38-GIALLO;0
;126609-38-NERO;0
;126609-39-GIALLO;0
;126609-39-NERO;0
;126609-40-GIALLO;0
;126609-40-NERO;0
;126609-41-GIALLO;0
;126609-41-NERO;0
;126611-35-NERO;0
;126611-35-NUDE;0
;126611-36-NERO;0
;126611-36-NUDE;0
;126611-37-NERO;0
;126611-37-NUDE;0
;126611-38-NERO;0
;126611-38-NUDE;0
;126611-39-NERO;0
;126611-39-NUDE;0
;126611-40-NERO;0
;126611-40-NUDE;0
;126611-41-NERO;0
;126611-41-NUDE;0
;126614-35-GRIGIO;0
;126614-35-NERO;0
;126614-36-GRIGIO;0
;126614-36-NERO;0
;126614-37-GRIGIO;0
;126614-37-NERO;0
;126614-38-GRIGIO;0
;126614-38NERO;0
;126614-39-GRIGIO;0
;126614-39-NERO;0
;126614-40-GRIGIO;0
;126614-40-NERO;0
;126614-41-GRIGIO;0
;126618-35-NERO;0
;"14999-35-NAVY BLU";20
;14999-35-NERO;0
;"14999-35-PATAGONIA FUMO";0
;14999-35-ROSSO;0
;"14999-36-NAVY BLU";0
;14999-36-NERO;0
;"14999-36-PATAGONIA FUMO";0
;14999-36-ROSSO;0
;"14999-37-NAVY BLU";0
;14999-37-NERO;0
;"14999-37-PATAGONIA FUMO";0
;14999-37-ROSSO;0
;"14999-38-NAVY BLU";0
;14999-38-NERO;0
;"14999-38-PATAGONIA FUMO";0
;14999-38-ROSSO;0
;"14999-39-NAVY BLU";0
;14999-39-NERO;0
;"14999-39-PATAGONIA FUMO";0
;14999-39-ROSSO;0
;"14999-40-NAVY BLU";0
;14999-40-NERO;0
;"14999-40-PATAGONIA FUMO";0
;14999-40-ROSSO;0
;"14999-41-NAVY BLU";0
;14999-41-NERO;0
;"14999-41-PATAGONIA FUMO";0
;14999-41-ROSSO;0
;1750-35-SELLA;0
;1750-36-SELLA;0
;1750-37-SELLA;0
;1750-38-SELLA;0
;1750-39-SELLA;0
;1750-40-SELLA;0
