C01-EAN_CODE;C03-COM_REF;REF PHY;C05-GLOBAL_BRAND;C06-COLOR;C07-NAME;Description;C09-COMPOSITION_MATERIAL;C10-PRODUCT_DIMENSIONS;C17-GENDER;C18-SIZE;C19-SEC_ATT;C20-WEB_SIZE;C21-RRP_WO_VAT;C21-RRP_WITH_VAT;special price
;126486-35-NERO;126486NE;LE MATTO;Nero;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;35;1;;90;110;59
;126486-36-NERO;126486NE;LE MATTO;Nero;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;36;2;;90;110;59
;126486-37-NERO;126486NE;LE MATTO;Nero;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;37;1;;90;110;59
;126486-38-AJR;126486;LE MATTO;;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;38;1;;90;110;59
;126486-38-NERO;126486NE;LE MATTO;Nero;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;38;1;;90;110;59
;126486-38-NERO;126486NE;LE MATTO;Nero;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;38;5;;90;110;59
;126486-39-NERO;126486NE;LE MATTO;Nero;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;39;3;;90;110;59
;126486-40-NERO;126486NE;LE MATTO;Nero;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;40;2;;90;110;59
;126486-41-NERO;126486NE;LE MATTO;Nero;SANDALO DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;41;1;;90;110;59
;126493-36-BIANCO;126493BIA;LEMATTO;BIANCO;;;PELLE MADE IN ITALY;;WOMEN;36;3;;90;110;59
;126493-37-BIANCO;126493BIA;LEMATTO;BIANCO;;;PELLE MADE IN ITALY;;WOMEN;37;5;;90;110;59
;126493-38-BIANCO;126493BIA;LEMATTO;BIANCO;;;PELLE MADE IN ITALY;;WOMEN;38;2;;90;110;59
;126493-39-BIANCO;126493BIA;LEMATTO;BIANCO;;;PELLE MADE IN ITALY;;WOMEN;39;3;;90;110;59
;126493-40-BIANCO;126493BIA;LEMATTO;BIANCO;;;PELLE MADE IN ITALY;;WOMEN;40;2;;90;110;59
;126493-40-BLU;126493BLU;LEMATTO;BLU;;;PELLE MADE IN ITALY;;WOMEN;40;1;;90;110;59
;126497-35-NERO;126497NE;LE MATTO;NERO;SANDALO DONNA;;PELLE MADE IN ITALY;;WOMEN;35;1;;90;110;59
;126497-36-GIALLO;126497GIA;LE MATTO;GIALLO;SANDALO DONNA;;PELLE MADE IN ITALY;;WOMEN;36;3;;90;110;59
;126497-36-NERO;126497NE;LE MATTO;NERO;SANDALO DONNA;;PELLE MADE IN ITALY;;WOMEN;36;4;;90;110;59
;126497-37-GIALLO;126497GIA;LE MATTO;GIALLO;SANDALO DONNA;;PELLE MADE IN ITALY;;WOMEN;37;3;;90;110;59
;126497-37-NERO;126497NE;LE MATTO;NERO;SANDALO DONNA;;PELLE MADE IN ITALY;;WOMEN;37;5;;90;110;59
;126497-38-GIALLO;126497GIA;LE MATTO;GIALLO;SANDALO DONNA;;PELLE MADE IN ITALY;;WOMEN;38;6;;90;110;59
;126497-38-NERO;126497NE;LE MATTO;NERO;SANDALO DONNA;;PELLE MADE IN ITALY;;WOMEN;38;6;;90;110;59
;126497-39-GIALLO;126497GIA;LE MATTO;GIALLO;SANDALO DONNA;;PELLE MADE IN ITALY;;WOMEN;39;3;;90;110;59
;126497-39-NERO;126497NE;LE MATTO;NERO;SANDALO DONNA;;PELLE MADE IN ITALY;;WOMEN;39;3;;90;110;59
;126497-40-GIALLO;126497GIA;LE MATTO;GIALLO;SANDALO DONNA;;PELLE MADE IN ITALY;;WOMEN;40;2;;90;110;59
;126497-40-NERO;126497NE;LE MATTO;NERO;SANDALO DONNA;;PELLE MADE IN ITALY;;WOMEN;40;1;;90;110;59
;126497-41-GIALLO;126497GIA;LE MATTO;GIALLO;SANDALO DONNA;;PELLE MADE IN ITALY;;WOMEN;41;2;;90;110;59
;126497-41-NERO;126497NE;LE MATTO;NERO;SANDALO DONNA;;PELLE MADE IN ITALY;;WOMEN;41;2;;90;110;59
;126499-35-ABL;126499ABL;LEMATTO;GIALLO;CHANEL DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;35;1;;90;110;59
;126499-36-.OXX;126499OXX;LEMATTO;AZZURRO;CHANEL DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;36;4;;90;110;59
;126499-36-ABL;126499ABL;LEMATTO;GIALLO;CHANEL DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;36;1;;90;110;59
;126499-36-OXX;126499OXX;LEMATTO;AZZURRO;CHANEL DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;36;4;;90;110;59
;126499-36-ROSSO;126499RO;LE MATTO;Rosso;CHANEL DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;36;1;;90;110;59
;126499-37-ABL;126499ABL;LEMATTO;AZZURRO;CHANEL DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;37;4;;90;110;59
;126499-37-OXX;126499OXX;LEMATTO;AZZURRO;CHANEL DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;37;7;;90;110;59
;126499-37-ROSSO;126499RO;LE MATTO;Rosso;CHANEL DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;37;1;;90;110;59
;126499-38-ABL;126499ABL;LEMATTO;GIALLO;CHANEL DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;38;8;;90;110;59
;126499-38-OXX;126499OXX;LEMATTO;AZZURRO;CHANEL DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;38;4;;90;110;59
;126499-38-OXX;126499OXX;LEMATTO;AZZURRO;CHANEL DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;38;4;;90;110;59
;126499-39-OXX;126499OXX;LEMATTO;AZZURRO;CHANEL DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;39;3;;90;110;59
;126499-39-ROSSO;126499RO;LE MATTO;Rosso;CHANEL DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;39;1;;90;110;59
;126499-40-ABL;126499ABL;LEMATTO;GIALLO;CHANEL DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;40;1;;90;110;59
;126499-40-OXX;126499OXX;LEMATTO;AZZURRO;CHANEL DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;40;3;;90;110;59
;126499-96-OXX;126499OXX;LEMATTO;AZZURRO;CHANEL DONNA;;tacco 9 cm MADE IN ITALY;;WOMEN;39;3;;90;110;59
